Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.037765,0.10355,0.020925,0,0,0,13.494,1.0864,2.0039E-16,-4.3603E-16,1.3681,-2.8239E-05,0.63282,0,0,0,0,0,0,package://argos/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://argos/meshes/base_link.STL,,Chassis-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_rear_motor_link,0,-0.0025,0,0,0,0,0.021697,7.8085E-06,-1.916E-22,-4.2352E-22,1.5527E-05,-4.623E-22,7.8085E-06,0,0,0,0,0,0,package://argos/meshes/right_rear_motor_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://argos/meshes/right_rear_motor_link.STL,,Gear-5,Origin_right_rear_motor_joint,Axis_right_rear_motor_joint,right_rear_motor_joint,continuous,0.21723,-0.19595,0.00082273,0,-0.3918,1.5708,base_link,0,1,0,,,,,,,,,,,,
right_mid_belt_link,0.0874999999999999,0.00225000000000003,1.95156391047391E-18,0,0,0,0.00667657609484862,7.98430672469472E-06,2.48154183765907E-22,9.82121574625244E-21,5.2880412606254E-05,5.205910447834E-22,4.49186393258794E-05,0,0,0,0,0,0,package://argos/meshes/right_mid_belt_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://argos/meshes/right_mid_belt_link.STL,,Belt-4,Origin_right_mid_belt_joint,,right_mid_belt_joint,fixed,0.16174,-0.0045,-0.066824,-3.1416,-0.3918,-3.1416,right_rear_motor_link,0,0,0,,,,,,,,,,,,
right_mid_gear_link,-1.98408997564847E-17,0.002,-2.32452945780892E-16,0,0,0,0.0216966242638545,7.80852466996015E-06,5.02080282874028E-22,0,1.55266467388209E-05,1.16710758237386E-35,7.80852466996015E-06,0,0,0,0,0,0,package://argos/meshes/right_mid_gear_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://argos/meshes/right_mid_gear_link.STL,,Gear-7,Origin_right_mid_gear_joint,Axis_right_mid_gear_joint,right_mid_gear_joint,continuous,0,0,0,3.1416,-1.5708,0,right_mid_belt_link,0,1,0,,,,,,,,,,,,
right_mid_wheel_link,2.25514051876985E-16,0.0155000000000001,4.20670442924376E-17,0,0,0,0.820122101622573,0.00342027097529297,-6.3517102092547E-21,4.60785923306339E-19,0.00671792488217426,-1.81154860439012E-19,0.00342027097529297,0,0,0,0,0,0,package://argos/meshes/right_mid_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://argos/meshes/right_mid_wheel_link.STL,,Wheel-5,Origin_right_mid_wheel_joint,Axis_right_mid_wheel_joint,right_mid_wheel_joint,fixed,0,0,0,-3.14159265358979,1.51273617278771,0,right_mid_gear_link,0,0,0,,,,,,,,,,,,
right_rear_belt_link,0.0875,0.00274999999999984,3.58870919092702E-17,0,0,0,0.00667657609484861,7.98430672469473E-06,-2.82482179186868E-23,1.77221695884145E-20,5.2880412606254E-05,5.94611613790833E-22,4.49186393258794E-05,0,0,0,0,0,0,package://argos/meshes/right_rear_belt_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://argos/meshes/right_rear_belt_link.STL,,Belt-3,Origin_right_rear_belt_joint,,right_rear_belt_joint,fixed,0,0,0,-3.1416,-0.3918,-3.1416,right_rear_motor_link,0,0,0,,,,,,,,,,,,
right_rear_gear_link,-1.0842021724855E-19,0.00249999999999975,-5.55111512312578E-17,0,0,0,0.0216966242638545,7.80852466996015E-06,-5.02080282874028E-22,-3.74939945665465E-41,1.55266467388209E-05,-2.43906422185256E-57,7.80852466996015E-06,0,0,0,0,0,0,package://argos/meshes/right_rear_gear_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://argos/meshes/right_rear_gear_link.STL,,Gear-8,Origin_right_rear_gear_joint,Axis_right_rear_gear_joint,right_rear_gear_joint,continuous,0.175,0,0,3.14159265358979,-1.5707963267949,0,right_rear_belt_link,0,1,0,,,,,,,,,,,,
right_rear_wheel_link,0,0.0200000000000001,0,0,0,0,0.820122101622576,0.00342027097529298,2.01461140192011E-19,1.24683249835833E-18,0.00671792488217428,4.2187156765204E-20,0.00342027097529298,0,0,0,0,0,0,package://argos/meshes/right_rear_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://argos/meshes/right_rear_wheel_link.STL,,Wheel-4,Origin_right_rear_wheel_joint,Axis_right_rear_wheel_joint,right_rear_wheel_joint,continuous,0,0,0,3.14159265358979,-0.17799306621387,0,right_rear_gear_link,0,1,0,,,,,,,,,,,,
right_front_wheel_link,0,0.015,-6.93889390390723E-18,0,0,0,0.820122101622575,0.00342027097529298,6.74204766962017E-20,-3.25260651745651E-19,0.00671792488217427,-2.84377181797463E-19,0.00342027097529298,0,0,0,0,0,0,package://argos/meshes/right_front_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://argos/meshes/right_front_wheel_link.STL,,Wheel-6,Origin_right_front_wheel_joint,Axis_right_front_wheel_joint,right_front_wheel_joint,continuous,0.21223,0.32905,0.00082273,0,0.1857,-1.5708,base_link,0,1,0,,,,,,,,,,,,
left_front_wheel_link,0,0.015,1.3878E-17,0,0,0,0.82012,0.0034203,2.4819E-20,5.9631E-19,0.0067179,2.8106E-19,0.0034203,0,0,0,0,0,0,package://argos/meshes/left_front_wheel_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://argos/meshes/left_front_wheel_link.STL,,Wheel-1,Origin_left_front_wheel_joint,Axis_left_front_wheel_joint,left_front_wheel_joint,continuous,-0.28777,0.32905,0.00082273,3.1416,0.1857,-1.5708,base_link,0,1,0,,,,,,,,,,,,
